Medicine Name, Quantity, Chemical Name, Compnay Name, Unit Price
1stCef,500 mg,Cefadroxil Monohydrate,Medimet Pharmaceuticals Ltd.,Unit Price : ৳ 12.00
2 A,500 mg,Paracetamol,Mystic Pharmaceuticals Ltd.,Unit Price : ৳ 0.65
2 A,120 mg/5 ml,Paracetamol,Mystic Pharmaceuticals Ltd.,60 ml bottle : ৳ 16.28
2ndCef,250 mg,Cefaclor Monohydrate,Medimet Pharmaceuticals Ltd.,Price not available
3-B,,Vitamin B1| B6 & B12,APC Pharma Ltd.,Unit Price : ৳ 4.00
3-C,200 mg,Cefixime Trihydrate,Edruc Ltd.,Unit Price : ৳ 35.00
3-C,100 mg/5 ml,Cefixime Trihydrate,Edruc Ltd.,100 ml bottle : ৳ 195.00
3-C,400 mg,Cefixime Trihydrate,Edruc Ltd.,Unit Price : ৳ 48.00
3-F,500 mg,Levofloxacin (Oral),Edruc Ltd.,Unit Price : ৳ 14.00
3-Geocef,200 mg,Cefixime Trihydrate,Hallmark Pharmaceuticals Ltd.,Unit Price : ৳ 30.00
3-Geocef,100 mg/5 ml,Cefixime Trihydrate,Hallmark Pharmaceuticals Ltd.,50 ml bottle : ৳ 175.00
3Bion,,Vitamin B1| B6 & B12,Julphar Bangladesh Ltd.,Unit Price : ৳ 5.00
3GC,500 mg/vial,Ceftriaxone,Opso Saline Limited,500 mg vial : ৳ 120.44
3GC,1 gm/vial,Ceftriaxone,Opso Saline Limited,1 gm vial : ৳ 160.60
3GC,2 gm/vial,Ceftriaxone,Opso Saline Limited,2 gm vial : ৳ 301.13
3RD Cef,200 mg,Cefixime Trihydrate,Medimet Pharmaceuticals Ltd.,Unit Price : ৳ 27.00
3RD Cef,400 mg,Cefixime Trihydrate,Medimet Pharmaceuticals Ltd.,Unit Price : ৳ 50.00
3RD Cef,100 mg/5 ml,Cefixime Trihydrate,Medimet Pharmaceuticals Ltd.,37.5 ml bottle : ৳ 130.00
5 FU PhaRes,25 mg/ml,5-Fluorouracil (5-FU),ZAS Corporation,500 mg vial : ৳ 457.00
5-Fluril,25 mg/ml,5-Fluorouracil (5-FU),Techno Drugs Ltd.,250 mg vial : ৳ 55.00
5-FU,25 mg/ml,5-Fluorouracil (5-FU),Choongwae Pharma Corporation,250 mg vial : ৳ 38.80
5X,30 mg,Ulipristal Acetate (For emergency contraception),Renata Limited,Unit Price : ৳ 195.90
A B1,100 mg,Thiamine Hydrochloride,Acme Laboratories Limited,Unit Price : ৳ 0.85
A-Cal,500 mg,Calcium Carbonate,Acme Laboratories Limited,Unit Price : ৳ 4.60
A-Cal,250 mg,Calcium Carbonate,Acme Laboratories Limited,Unit Price : ৳ 1.51
A-Cal,250 mg,Calcium Carbonate,Acme Laboratories Limited,Unit Price : ৳ 1.00
A-Cal D,500 mg+200 IU,Calcium Carbonate (Elemental) + Vitamin D,Acme Laboratories Limited,15 tablet pack : ৳ 91.47
A-Cal DX,500 mg+400 IU,Calcium Carbonate (Elemental) + Vitamin D,Acme Laboratories Limited,30 tablet pack : ৳ 214.95
A-Calm,50 mg,Tolperisone Hydrochloride,Acme Laboratories Limited,Unit Price : ৳ 5.57
A-Card,20 mg,Isosorbide Mononitrate,Acme Laboratories Limited,Unit Price : ৳ 1.42
A-Care,6 mg+200 mg+50 mg,Betacarotene + Vitamin C + Vitamin E,Asiatic Laboratories Ltd.,Unit Price : ৳ 2.50
A-Clox,500 mg,Cloxacillin,Acme Laboratories Limited,Unit Price : ৳ 5.98
A-Clox,125 mg/5 ml,Cloxacillin,Acme Laboratories Limited,100 ml bottle : ৳ 44.97
A-Clox,250 mg/vial,Cloxacillin,Acme Laboratories Limited,250 mg vial : ৳ 20.00
A-Clox,500 mg/vial,Cloxacillin,Acme Laboratories Limited,500 mg vial : ৳ 28.43
A-Clox,125 mg/1.25 ml,Cloxacillin,Acme Laboratories Limited,15 ml drop : ৳ 26.38
A-cof,(10 mg+30 mg+1.25 mg)/5 ml,Dextromethorphan + Pseudoephedrine + Triprolidine,Acme Laboratories Limited,100 ml bottle : ৳ 70.21
A-cold,4 mg/5 ml,Bromhexine Hyrdochloride,Acme Laboratories Limited,100 ml bottle : ৳ 40.11
A-Fenac,25 mg,Diclofenac Sodium,Acme Laboratories Limited,Unit Price : ৳ 0.55
A-Fenac,50 mg,Diclofenac Sodium,Acme Laboratories Limited,Unit Price : ৳ 0.84
A-Fenac,25 mg/ml,Diclofenac Sodium,Acme Laboratories Limited,3 ml ampoule : ৳ 14.10
A-Fenac,12.5 mg,Diclofenac Sodium,Acme Laboratories Limited,Unit Price : ৳ 8.07
A-Fenac,50 mg,Diclofenac Sodium,Acme Laboratories Limited,Unit Price : ৳ 14.10
A-Fenac,1% w/w,Diclofenac Sodium,Acme Laboratories Limited,10 gm tube : ৳ 13.05
A-Fenac K,50 mg,Diclofenac Potassium,Acme Laboratories Limited,Unit Price : ৳ 3.00
A-Fenac Plus,(75 mg+20 mg)/2 ml,Diclofenac Sodium + Lidocaine Hydrochloride,Acme Laboratories Limited,2 ml ampoule : ৳ 14.06
A-Fenac SR,100 mg,Diclofenac Sodium,Acme Laboratories Limited,Unit Price : ৳ 3.01
A-Flox,250 mg,Flucloxacillin Sodium,Acme Laboratories Limited,Unit Price : ৳ 5.66
A-Flox,500 mg,Flucloxacillin Sodium,Acme Laboratories Limited,Unit Price : ৳ 10.58
A-Flox,125 mg/5 ml,Flucloxacillin Sodium,Acme Laboratories Limited,100 ml bottle : ৳ 61.42
A-Flox,250 mg/vial,Flucloxacillin Sodium,Acme Laboratories Limited,250 mg vial : ৳ 35.25
A-Flox,500 mg/vial,Flucloxacillin Sodium,Acme Laboratories Limited,500 mg vial : ৳ 45.30
A-Forte,500000 IU,Vitamin A,Globe Pharmaceuticals Limited.,Unit Price : ৳ 1.90
A-Meb,135 mg,Mebeverine Hydrochloride,Acme Laboratories Limited,Unit Price : ৳ 6.01
A-Migel,2% w/w,Miconazole Nitrate (Oral Gel),Acme Laboratories Limited,15 gm tube : ৳ 52.16
A-Mycin,3%,Erythromycin (Lotion),Aristopharma Ltd.,25 ml tube : ৳ 120.00
A-Mycin,250 mg,Erythromycin (Oral),Aristopharma Ltd.,Unit Price : ৳ 5.15
A-Mycin,500 mg,Erythromycin (Oral),Aristopharma Ltd.,Unit Price : ৳ 9.00
A-Mycin,125 mg/5 ml,Erythromycin (Oral),Aristopharma Ltd.,100 ml bottle : ৳ 69.30
A-Mycin,250 mg/5 ml,Erythromycin (Oral),Aristopharma Ltd.,100 ml bottle : ৳ 100.00
A-Mycin,200 mg/5 ml,Erythromycin (Oral),Aristopharma Ltd.,60 ml bottle : ৳ 60.00
